/home/runner/work/redaction/redaction/input/redaction.xml:12:42: error: element "Module" not allowed anywhere; expected element "PP"
/home/runner/work/redaction/redaction/input/redaction.xml:17:18: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/redaction/redaction/input/redaction.xml:22:17: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/redaction/redaction/input/redaction.xml:30:21: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/redaction/redaction/input/redaction.xml:356:22: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/redaction/redaction/input/redaction.xml:383:13: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/redaction/redaction/input/redaction.xml:424:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/redaction/redaction/input/redaction.xml:434:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/redaction/redaction/input/redaction.xml:443:34: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/redaction/redaction/input/redaction.xml:450:40: error: element "consistency-rationale" not allowed here; expected element "objective-refer"
/home/runner/work/redaction/redaction/input/redaction.xml:595:34: error: element "consistency-rationale" not allowed here; expected the element end-tag
/home/runner/work/redaction/redaction/input/redaction.xml:605:29: error: element "consistency-rationale" not allowed here; expected the element end-tag
/home/runner/work/redaction/redaction/input/redaction.xml:641:27: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:644:113: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:645:77: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:697:19: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:809:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1390:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1425:21: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1802:20: error: element "opt-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1803:20: error: element "sel-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1804:20: error: element "obj-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1805:25: error: element "impl-dep-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1806:35: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/redaction/redaction/input/redaction.xml:1848:20: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "ctr", "depends", "endnote", "equation", "figure", "if-opt-app", "no-link", "refinement", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
